Date	Link	Title	Text
2022-10-08 21:57:00	https://aif.ru/politics/russia/putin_prizval_povyshat_uroven_tehnologicheskogo_suvereniteta_v_apk	Путин призвал повышать уровень технологического суверенитета в АПК	" России в условиях беспрецедентного санкционного давления необходимо повышать уровень технологического суверенитета в агропромышленном комплексе. С таким заявлением выступил российский лидер Владимир Путин в поздравлении с Днем работника сельского хозяйства. Как пояснил глава государства в своем видеообращении, стране надо наращивать собственные возможности в селекции, генетике, семеноводстве, стимулировать переход на современные отечественные оборудование и технику, а также создавать условия для дальнейшего притока инвестиций. В связи с этим президент напомнил, что в сентябре правительство утвердило обновленную стратегию развития АПК, назвав среди ее ключевых приоритетов повышение качества жизни на селе. «А это строительство новых современных домов, дальнейшее развитие программы ""Сельская ипотека"", это модернизация социальной, инженерной, транспортной инфраструктуры и комплексное благоустройство сельских территорий», – добавил Путин. Ранее Владимир Путин выразил готовность РФ участвовать в преодоление глобальных проблем с продовольствием, обратив внимание на то, что российская сторона сегодня полностью обеспечивает внутренний рынок по основным видам продуктов, успешно решает вопросы продовольственной безопасности и наращивает экспортные возможности. "
2022-10-08 21:07:00	https://aif.ru/money/economy/na_skolko_podorozhal_hleb_v_evrope_za_god_infografika	На сколько подорожал хлеб в Европе за год. Инфографика	
2022-10-08 15:26:00	https://aif.ru/money/economy/klondayku_dlya_ssha_prishel_konec_sahalin-1_vernulsya_v_rodnuyu_gavan	«Клондайку для США» пришел конец. «Сахалин-1» вернулся в родную гавань	" 7 октября президент Владимир Путин подписал Указ о возвращении нефтегазового проекта «Сахалин −1» в юрисдикцию России. Отныне этим предприятием будет управлять «Сахалинморнефтегаз — Шельф». Нефтяные месторождения на северо-восточном шельфе острова Сахалин были открыты еще в 70-х годах XX в., однако тогдашний уровень технологий не позволил СССР приступить к их разработке. Ситуация изменилась в 90-х годах. В 1995-м между российским правительством и консорциумом компаний, во главе с американской ExxonMobil, одной из крупнейших нефтяных компаний мира, было заключено соглашение. В соответствии с ним, зарубежные инвесторы брали на себя все расходы по добыче сахалинской нефти. Правда, они же получали и львиную долю доходов от ее реализации. Подобный вид договоров известен как соглашение о разделе продукции (СРП). До недавнего времени всем процессом нефтедобычи на Сахалине управляла дочерняя компания американского нефтяного гиганта ExxonMobil под названием «Эксон Нефтегаз Лимитед» (ЭНЛ). На сегодняшний день она уже не существует. 1 марта 2022 г. головная компания объявила, что прекращает свою деятельность в России. Указ В. Путина, таким образом, лишь узаконил давно сложившееся положение вещей. Это вынужденное решение, продиктованное необходимостью возобновления бесперебойной и безопасной работы проекта и обеспечения надежного энергоснабжения жителей Хабаровского края и севера острова Сахалин. Компания «Эксон Нефтегаз Лимитед» еще весной в одностороннем порядке объявила форс-мажор по всем контрактным обязательствам в рамках проекта «Сахалин — 1», полностью отказалась от выполнения функций оператора, фактически заблокировав работу проекта. В результате были остановлены не только отгрузка нефти, но и поставка газа жителям Приморья. Такая ситуация является неприемлемой ни для российского государства, ни для других участников проекта, включая японских и индийских партнеров проекта. Они на протяжении полугода вынуждены были мириться с простоем производственных мощностей и прямыми финансовыми потерями. Решение В. Путина позволит возобновить полноценную работу «Сахалина — 1» в кратчайшие сроки.  До подписания президентского Указа «Сахалин — 1» оставался единственным проектом, реализуемым в России на основе СРП, по которому был не урегулирован вопрос участия иностранных акционеров. Ранее российским компаниям был передан контроль над двумя другим СРП-проектами — «Сахалин — 2» и Харьягинское месторождение. Подобное решение назрело давно: механизм СРП, действующий в России на протяжении нескольких десятилетий, доказал свой паразитический характер. Об этом несколько лет назад говорил и президент В. Путин: «Это колониальный договор, не имеющий абсолютно ничего общего с интересами Российской Федерации. Мне остается только сожалеть, что в начале 90-х годов российские чиновники позволяли себе такие выходки, за которые их вообще-то нужно было бы посадить в тюрьму. Исполнение этого договора вело к тому, что Россия в течение длительного периода времени позволяла эксплуатировать свои природные ресурсы и ничего не получала взамен. Просто практически ноль». По данным Счетной палаты, по состоянию на 2018 г., за весь период действия соглашений о разделе продукции выручка от реализации углеводородов, добытых на шельфе Сахалина в рамках СРП, составила около 160 млрд. долл. При этом, в бюджеты всех уровней из этой суммы поступило лишь 47 млрд., то есть менее трети. Если бы месторождения разрабатывались на стандартных условиях, государство получило бы в 1,5 раза больше, подсчитал инвестиционный стратег ИК «Арикапитал» Сергей Суверов. «В период с 2005 г. когда был запущен Сахалин — 1, по 2018 г. средний уровень налоговой нагрузки нефтяных компаний составлял порядка 50% (“Роснефть” — 55,2%, “Лукойл” — 48,2%, “Газпром нефть” — 49,3%), при показателе 29,4% по проектам СРП. Это свидетельствует о низкой бюджетной эффективности соглашений о разделе продукции», — говорит эксперт. По условиям соглашений, доля России в проектах СРП составила 15% («Сахалин-1»), 10% («Сахалин-2») и 47,7% (Харьягинскоеместорождение). Предполагалось, что по мере окупаемости иностранных инвестиций и роста доходности проектов до намеченных уровней, будет расти и доля российского государства в прибыльной продукции. На практике же оказалось, что за десятилетия работы СРП, достигнуть установленной нормы прибыльности смог только Харьягинскийпроект. По Сахалинским же СРП указанный показатель не достиг даже минимального уровня (17,5%). Зато ожидания иностранных инвесторов более чем оправдались. Например, для ExxonMobil""Сахалин-1″ стал настоящим Клондайком: по расчетам инвестиционного банка Goldman Sachs, внутренняя норма доходности проекта «Сахалин-1» превышает 20%, что значительно выше среднего показателя по 20 крупнейшим проектам компании. Доходность «Сахалин-1» для ExxonMobil в 3,2 раза выше доходности инвестиций в ее крупнейший казахстанский проект «Кашаган». «Совокупный объем добычи с начала реализации проекта составил 147 млн тонн нефти и 33 млрд кубометров газа, соответственно выручка — порядка 84 млрд. долл., из которых около 25 млрд. приходится на ExxonMobil», — подсчитал Суверов. По его словам, отдача от проекта для американской компании примерно в 2,5 раза превысила затраты по проекту: при общем размере инвестиций на уровне 36 млрд. долл, ExxonMobil вложил порядка 10 млрд. В соглашении о разделе продукции существуют и другие подводные камни. Согласно условиям СРП, инвестор освобождается от большинства налогов, но несет все риски и издержки, связанные с реализацией проекта. При этом расходы компенсируются за счет полученной продукции, объем которой вычитается из доли государства. Получалось, что чем больше американцы тратили, тем меньше им надо было отдавать в бюджет России. В условиях слабого финансового контроля менеджеры компании — оператора зачастую не экономили ни на чем, а скорее — наоборот. Вместо закупки российских материалов, оборудования, продуктов, стоимость которых с учетом фрахта значительно ниже импортных, они все это везли из США. Вопрос о том, что американские «партнеры» попросту транжирят российские деньги ставила и Счетная палата. По ее данным, менеджмент «Эксон Нефтегаз Лимитед» ежегодно включали в состав возмещаемых затрат расходы, не связанные с реализацией проекта. Например, на проведение корпоративов, празднование Рождества и Хэллоуина, покупку подарков и сувениров. В числе других нецелевых расходов присутствовала, например, аренда элитного жилья для иностранных топ-менеджеров в Москве. Совокупные расходы на аренду и компенсацию жилья по проектам «Сахалин — 1» и «Сахалин — 2» в одном только 2014 г. составили в 11,8 млн. долл. В целом же необоснованные расходы по двум проектам аудиторы Счетной палаты оценили в 36,5 млн. долл. Общая сумма за 2012 — 2016 гг., предложенная контролирующим органом к исключению из возмещаемых затрат по проектам «Сахалин — 1» и «Сахалин — 2», составила 113,4 млн. долл. Впрочем, это крохи по сравнению со стоимостью оборудования, которое, по условиям СРП, должно быть передано в собственность государству. В 2018 г. Счетная палата оценивала это имущество в 24,3 млрд. долл."
2022-10-08 14:27:00	https://aif.ru/money/economy/minenergo_krym_zaporozhe_i_hersonskaya_oblast_obespecheny_energoresursami	Минэнерго: Крым, Запорожье и Херсонская область обеспечены энергоресурсами	 Вопрос обеспечения энергоресурсами Крыма, Херсонской и Запорожской областей находится на контроле Минэнерго РФ, сообщает Telegram-канал ведомства. В министерстве назвали стабильной ситуацию с обеспечением потребителей в трех регионах горючим, газом и электроэнергией. Сообщается, что Крым, Херсонская и Запорожская области обеспечены всеми необходимыми энергоресурсами. «Запасы топлива в регионах находятся на достаточном уровне для удовлетворения спроса, рисков дефицита нет», - отмечается в сообщении. Ранее в Минэнерго Крыма сообщили о наличии в республике запасов бензина и дизтоплива минимум на 15 дней. 
2022-10-08 14:14:00	https://aif.ru/money/economy/vsyo_vosstanovim_dvizhenie_po_krymskomu_mostu_vozobnovitsya_uzhe_segodnya	Всё восстановим. Движение по Крымскому мосту возобновится уже сегодня	 В результате подрыва грузовика Крымский мост получил значительные повреждения, движение по нему закрыто. Обрушились два пролета автомобильного полотна, состояние железнодорожного, где от взрыва загорелся состав с дизельным топливом, еще предстоит оценить специалистам. По данным Следственного Комитета, при взрыве погибли три человека. Для выяснения причин ЧП и ликвидации последствий по поручению президента Владимира Путина создана правительственная комиссия, ее возглавил вице-премьер Марат Хуснуллин. О характере и степени тяжести повреждений высказался глава крымского парламента Владимир Константинов: «В причинах происшествия разберутся, повреждения оперативно будут восстановлены, благо они не носят тяжелого характера. Созидательная деятельность в Крыму будет продолжена».  Схема движения автомобилей на подъезде к Крымскому мосту. ИнфографикаПодробнее  Крымский мост состоит из железнодорожной и автомобильной нитки, отстоящих друг от друга на примерно 100 метров. Горение семи цистерн с дизельным топливом нанесло незначительный ущерб железнодорожной инфраструктуре моста, Минтранс уже обследовал поврежденные участки и предполагает возможным начать движение поездов уже сегодня вечером. «В настоящее время проведена первичная оценка состояния инфраструктуры железнодорожной части Крымского моста на предмет возможности пропуска поездов. Проводятся восстановительные работы. По оценкам специалистов, работоспособность участка и организация движения первых поездов будет обеспечена к 20.00 (8 октября — прим.ред.) по московскому времени», — сообщило ведомство в своем Telegram-канале.  Когда начнут восстанавливать Крымский мост?Подробнее  Автомобильная часть моста пострадала сильнее, обрушилось два пролета дорожного полотна, ведущего из Краснодарского края в Крым. Но встречное полотно, из Крыма на Тамань, уцелела. Глава Минтранса Виталий Савельев, оценив состояние конструкций моста и ход восстановительных работ, сообщил, что движение по неповрежденной части автодорожного полотна можно будет запустить уже сегодня, в субботу, 8 октября. Движение будет организовано в реверсивном режиме, с периодической сменой направления.  Вопрос-ответКогда пустят поезда в Крым? Крымский мост критично важен для транспортного сообщения с полуостровом, поэтому профильные ведомства приложат все усилия для полноценного восстановления его работы. Тем более, что специалисты подтверждают, что технически это возможно. «Все будет восстановлено, 100%, — заявил aif.ru доцент кафедры мостов и тоннелей МАДИ Алексей Агеев, — больше мне (при отсутствии детальной информации — прим. ред.) пока сказать нечего». В подтверждение слов эксперта глава Крыма Сергей Аксенов сообщил в своем Telegram-канале, что автомобильное движение по Крымскому мосту восстановлено, правда, пока только для легкового транспорта и автобусов. Крымский мост соединяет Краснодарский край с Крымом. Его длина превышает 19 км, это самый длинный мост в Европе. Стоимость сооружения составила 220 млрд руб.Взрыв на Крымском мосту. Кадры с места ЧП©  РИА Новости / Елена Иванова©  РИА Новости / Елена Иванова© Скриншот из видео Ruptly© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube©  РИА Новости / Константин МихальчевскийВзрыв на Крымском мосту. Кадры с места ЧП©  РИА Новости / Елена Иванова©  РИА Новости / Елена Иванова© Скриншот из видео Ruptly© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube©  РИА Новости / Константин Михальчевский
2022-10-08 10:44:00	https://aif.ru/money/economy/kogda_nachnut_vosstanavlivat_krymskiy_most	Когда начнут восстанавливать Крымский мост?	 Вследствие взрыва грузового автомобиля на Керченском мосту транспортный переход через пролив был поврежден — транспортное сообщение временно приостановили. Что случилось с мостом и когда его начнут восстанавливать — в справке aif.ru. По информации Национального антитеррористического комитета, больше всего взрыв затронул дорожное полотно — судоходные арки не повреждены. «В результате ЧП на Крымском мосту повреждена проезжая часть — прежде всего автомобильная нитка, которая ведет из Тамани в Крым. Нитка из Керчи на Краснодар повреждена в меньшей степени», — заявил глава Крыма Сергей Аксенов.   Смертник или дистанционный подрыв? Что случилось с Крымским мостомПодробнее  Сегодня, 8 октября, оценить степень повреждений предстоит специально собранной по поручению президента Владимира Путина правительственной комиссии. В нее вошли представители Минтранса, МЧС, Минстроя, Росморречфлота, Росавтодора, Росжелдора, Росгвардии, МВД и ФСБ, а также главы Краснодарского края и Республики Крым, а возглавил Марат Хуснуллин, заместитель председателя правительства РФ. По словам Аксенова, «по итогам работы комиссии должны быть выработаны пути восстановления и время восстановления дорожного полотна и, если будет необходимо, железнодорожной составляющей».  Статья по темеЛинии стерты. Запад назвал ЧП на Крымском мосту «замечательным моментом» По словам главы республики, восстановление поврежденных частей моста планируют начать в самое ближайшее время. «Работы по восстановлению Крымского моста будут вестись безо всякой бюрократии, соответственно приступаем практически сегодня, как только закончат работу Следственный комитет и Федеральная служба безопасности», — заявил Аксенов.Взрыв на Крымском мосту. Кадры с места ЧП©  РИА Новости / Елена Иванова©  РИА Новости / Елена Иванова© Скриншот из видео Ruptly© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube©  РИА Новости / Константин МихальчевскийВзрыв на Крымском мосту. Кадры с места ЧП©  РИА Новости / Елена Иванова©  РИА Новости / Елена Иванова© Скриншот из видео Ruptly© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube©  РИА Новости / Константин Михальчевский Источники:  https://aif.ru https://t.me/Aksenov82
2022-10-08 08:45:00	https://aif.ru/money/mymoney/kak_pomogut_krymskim_turistam_v_svyazi_s_chp_na_kerchenskom_mostu	Как помогут крымским туристам в связи с ЧП на Керченском мосту?	 8 октября автомобильное и железнодорожное сообщение на полуостров и из него было временно приостановлено из-за взрыва - повреждено автомобильное полотно, затронуты железнодорожные пути. Нужно ли будет туристам продлевать проживание в отелях и санаториях Крыма и на каких условиях можно будет возвратить ж/д билеты - в материале аif.ru.  В связи с выводом из строя основной ветки автомобильного сообщения власти Крыма возобновили работу паромной переправы. По информации Минтранса первый паром по состоянию на 08 часов 30 минут 8 октября выдвинулся к терминалу для погрузки и начала работы. Еще три парома готовятся к выходу. Расписание движения паромов пока не известно. Взрыв на Крымском мосту. Кадры с места ЧП©  РИА Новости / Елена Иванова©  РИА Новости / Елена Иванова© Скриншот из видео Ruptly© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube©  РИА Новости / Константин МихальчевскийВзрыв на Крымском мосту. Кадры с места ЧП©  РИА Новости / Елена Иванова©  РИА Новости / Елена Иванова© Скриншот из видео Ruptly© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube© Кадр YouTube©  РИА Новости / Константин Михальчевский https://t.me/tavria_train  https://t.me/Aksenov82 https://iz.ru  https://t.me/obyasnayemrf  https://ria.ru
2022-10-08 05:38:00	https://aif.ru/money/company/zaporozhskaya_aes_polnostyu_otklyuchilas_ot_energosistemy_ukrainy	Запорожская АЭС полностью отключилась от энергосистемы Украины	 Последняя линия связи, соединяющая Запорожскую АЭС с энергосистемой Украины, повреждена после обстрела украинскими войсками, сообщил РИА Новости член главного совета администрации Запорожской области Владимир Рогов. В результате отключилась последняя высоковольтная линия электропередачи, соединяющая атомную станцию с энергосистемой Украины, сказал он. Рогов уточнил, что оказалась повреждена линия электропередач Днепровская, мощностью 750кВ, а ЗАЭС в автоматическом режиме перешла на работу дизель-генераторов. Ранее Владимир Рогов заявил, что Киев планирует вновь высадить десант у АЭС. 6 октября сообщалось, что украинские спецслужбы собирают данные о неконтролируемых сбросах воды на каскаде ГЭС, чтобы подготовить провокацию с затоплением Запорожской АЭС.
2022-10-08 03:51:00	https://aif.ru/politics/world/glava_mid_saudovskoy_aravii_otvetil_na_pretenzii_ssha	Глава МИД Саудовской Аравии ответил на претензии США	 Глава МИД Саудовской Аравии Адель аль-Джубейр ответил на претензии Соединенных Штатов из-за решения ОПЕК+ сократить добычу нефти, сообщает Fox News. В интервью телеканалу министр отметил, что цены на бензин в США растут не по вине Саудовской Аравии, а из-за нехватки нефтеперерабатывающих заводов в самих Штатах. По его словам, в настоящее время в США наблюдается дефицит переработки, поскольку страна не строила нефтеперерабатывающие заводы десятилетиями. Также Адель аль-Джубейр заявил, что Саудовская Аравия не ставила своей целью навредить Вашингтону. Ранее издание New York Post заявило, что глава Белого дома Джо Байден ведет Соединенные Штаты к «энергетическому кошмару» по европейскому сценарию.
2022-10-08 03:22:00	https://aif.ru/politics/world/smi_sholc_okazalsya_pod_davleniem_es_iz-za_energeticheskoy_politiki_frg	СМИ: Шольц оказался под давлением ЕС из-за энергетической политики ФРГ	 Канцлер Германии Олаф Шольц оказался под давлением других стран Евросоюза на саммите, прошедшем 7 октября в Праге, из-за проводимой в ФРГ энергетической политики, сообщает ZDF. Корреспондент телеканала Андреас Кюннерт отметил, что причиной критики стал немецкий «защитный зонтик» в 200 миллиардов евро, которые правительство Германии направило на решение энергетического кризиса. По словам журналиста, в Берлине, в частности, решили обеспечить себя энергией с избытком и покупать газ по любой цене. При этом другие страны ЕС, в том числе республики Прибалтики, Польша, Испания, Италия и Португалия, опасаются, что ФРГ выйдет из сложившейся тяжелой ситуации за их счет. Как отмечается в публикации, Шольц оказался перед непростой дилеммой, поскольку в Евросоюзе к нему предъявляют претензии за то, что от него требуют в Германии. При этом недовольство внутри страны также не спадает. Ранее глава комитета Госдумы по энергетике Павел Завальный заявил, что запуск неповрежденной нитки российского газопровода «Северный поток - 2» зависит только от Европы. Однако, по словам парламентария, предпосылок для этого пока нет.
